Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,KO,SPY,AAPL,KO,SPY,AAPL,KO,SPY,AAPL,KO,SPY,AAPL,KO,SPY
Date,,,,,,,,,,,,,,,
2010-01-04,6.431895732879639,17.69251823425293,85.51564025878906,6.446622218528988,17.748350257927157,85.56091273345784,6.382907496530451,17.64909358989138,84.14231954354095,6.4144643088171485,17.729739188958142,84.79125187945318,493729600,13870400,118944600
2010-01-05,6.443014144897461,17.478496551513672,85.74198913574219,6.479379725915822,17.677011087503438,85.77972002744511,6.409052551607712,17.413359579496504,85.1534240695017,6.44962621463408,17.633585256259074,85.46280126207343,601904800,23172400,111579900
2010-01-06,6.340532302856445,17.472286224365234,85.8023452758789,6.468563265152154,17.506404730222894,86.01362442574688,6.333920230167296,17.36372346969396,85.59106612601093,6.443017021938052,17.478488728533982,85.65897481407204,552160000,19264600,116074400
2010-01-07,6.328810691833496,17.42886734008789,86.16455078125,6.371488215581242,17.484699365657523,86.27019036668479,6.282827934174395,17.29238971271371,85.4024316946771,6.363974496388555,17.472293169156494,85.64389442666027,477131200,13234600,131091100
2010-01-08,6.370886325836182,17.106279373168945,86.45130920410156,6.371487824601399,17.258265594709922,86.48904010486248,6.28312889991774,16.9822079740382,85.76465171428497,6.320395339759796,17.202433583424344,85.93820004115993,447610800,28712400,126402800
2010-01-11,6.3146843910217285,17.45368003845215,86.5720443725586,6.40154055373369,17.509512057428584,86.8738685540455,6.264794111645861,16.99771894455551,86.2022999634608,6.395529580009705,17.106281729557562,86.83614340982326,462229600,28642400,106375700
2010-01-12,6.242854118347168,17.64288330078125,85.7646484375,6.304465797084791,17.680104241563686,86.17965954537793,6.203783992560606,17.388538036175238,85.43263494565609,6.287033571848873,17.397842975562757,85.99856389388441,594459600,23269800,163333500
2010-01-13,6.330913066864014,17.68941879272461,86.48902893066406,6.339328430410686,17.81349024039172,86.73049169632677,6.134058886077559,17.583958417177474,85.5458141027744,6.24736333765982,17.63668919656755,85.9834614076511,605892000,15157400,161822000
2010-01-14,6.294249534606934,17.720430374145508,86.7229232788086,6.325205660089231,17.75765132071788,86.88138264053299,6.281927434934749,17.608766351195836,86.33809011066363,6.314686853237379,17.69251436840809,86.39090989790509,432894000,12392600,115718800
2010-01-15,6.189059257507324,17.459882736206055,85.74954223632812,6.359466801011032,17.7886699590289,86.65502612887848,6.187255964862835,17.38233840127876,85.41752878916078,6.339330033147573,17.664599733084813,86.57202852401284,594067600,27460800,212283100
2010-01-19,6.4628520011901855,17.50020408630371,86.82101440429688,6.467360232264817,17.521917587600097,86.8738341908568,6.228430004309414,17.345115424000845,85.71179312961358,6.261188612985054,17.43816956796864,85.73443511550352,730007600,14615400,139172700
2010-01-20,6.363373756408691,17.21484375,85.93820190429688,6.4781801747506105,17.49090141541249,86.36076036872969,6.296352585470449,17.149706787354237,85.25154439959357,6.458945455016173,17.4195607634815,86.23248451444506,612152800,18810200,216490200
2010-01-21,6.253373622894287,16.86434555053711,84.28567504882812,6.410857943534868,17.239661118122793,86.22492451231659,6.227527235262426,16.80851352174694,84.18003544824326,6.373891654424182,17.230354991169147,85.96082551085443,608154400,27396800,344859600
2010-01-22,5.943216323852539,16.82402229309082,82.40679931640625,6.2362445740977535,17.016331945172983,84.31586536735463,5.925484747683451,16.743375508414758,82.31624861282687,6.214605863638267,16.858140812356854,83.90839583663778,881767600,23551400,345942400
2010-01-25,6.103103160858154,16.858144760131836,82.82935333251953,6.152090996706975,16.917079235788357,83.3122846355784,6.0165471366169285,16.712362156088048,82.55771275013093,6.086272833957545,16.901570599175162,83.16136680433293,1065699600,16853200,186937500
2010-01-26,6.189361095428467,16.792999267578125,82.48224639892578,6.422882325061218,16.904663287787134,83.35755250100921,6.088379093904447,16.709251252421367,82.2785145341588,6.189661644265148,16.771286950674433,82.50488263313031,1867110000,15515000,211168800
2010-01-27,6.2476654052734375,16.907773971557617,82.87464904785156,6.328811171099147,16.95430106700879,83.06329205901926,5.996712381700912,16.656530969174206,81.74279098084544,6.21670928112205,16.749583976843365,82.37662873504351,1722568400,20414800,271863600
2010-01-28,5.989499092102051,16.805418014526367,81.92385864257812,6.176135862114551,17.01013512901159,83.19153947436936,5.971767517537085,16.789909375277993,81.42584425701328,6.159005385078344,16.969811720379152,83.1462670093887,1173502400,20905200,316104000
2010-01-29,5.772205829620361,16.82712173461914,81.03347778320312,6.076955364236257,17.04114368647817,82.85199886822888,5.717807723299052,16.71856013220501,80.90520193885348,6.043294715202802,16.886055006896424,82.27852259882351,1245952400,22146800,310677600
2010-02-01,5.852451801300049,16.867448806762695,82.29360961914062,5.89062069011857,16.923280838265438,82.30115695008445,5.749365987374977,16.74958105323102,81.11647929667978,5.78152390117745,16.907771020333467,81.60695218334737,749876400,14517600,187865000
2010-02-02,5.886412620544434,17.075260162353516,83.28961181640625,5.9002378621722595,17.124888483123033,83.44807116287073,5.811878541579908,16.796101301737156,82.15775440715322,5.887915765466296,16.91396782404445,82.444495301929,698342400,16888600,216327900
2010-02-03,5.98769474029541,17.019433975219727,82.87464904785156,6.016847564016379,17.047349989153513,83.36512202827312,5.843134020335327,16.91397360960686,82.63318622383404,5.865674772409622,17.034942608908963,82.91237419592841,615328000,15899400,172730700
2010-02-04,5.771907329559326,16.572772979736328,80.3166275024414,5.961849330982893,16.96049459879579,82.27096578064241,5.757480989056238,16.563468039513296,80.30153284194864,5.9125601367974125,16.920171219108514,82.23324064326289,757652000,21342800,356715700
2010-02-05,5.874390125274658,16.467313766479492,80.48262023925781,5.8906197552422475,16.572774101330193,80.64862117734563,5.735840383276953,16.2936140434217,78.91310972249411,5.789337249896124,16.513840837208427,80.40715846376085,850306800,29285000,493585800
2010-02-08,5.834118843078613,16.330839157104492,79.901611328125,5.947122767994307,16.52314879700469,80.98819661519641,5.830512257998319,16.306024399319806,79.84124419952632,5.881304195345732,16.52314879700469,80.5429962379389,478270800,16721200,224166900
2010-02-09,5.896329879760742,16.7526798248291,80.90519714355469,5.935700554058665,17.053552262991243,81.60694921571643,5.853051671255216,16.5541664903343,80.18835041005421,5.903242098312823,16.6534231575817,80.83728268138341,632886800,31495000,337820500
2010-02-10,5.86417293548584,16.684436798095703,80.7467269897461,5.9086537503556125,16.935679647007202,81.19192157221096,5.838326544858855,16.492126025388362,80.06761124308922,5.887314387293714,16.935679647007202,80.77691055147814,370361600,18717600,240511500
2010-02-11,5.970865249633789,16.817813873291016,81.59183502197266,6.003324113722218,16.85193356619384,81.68238569754844,5.8323154845014855,16.5231451965869,80.17324231283622,5.856960081004423,16.625503092062846,80.64107883459006,550345600,26327200,223591600
2010-02-12,6.022258281707764,16.743375778198242,81.52394104003906,6.060126622074822,16.873650900453736,81.56921350753161,5.875593700290378,16.631711725760066,80.36944706356961,5.954034918536406,16.72476470838092,80.73163831736237,655468800,24640000,304622100
2010-02-16,6.1130218505859375,17.003923416137695,82.80671691894531,6.121737362950049,17.003923416137695,82.88972028672012,6.056519890158769,16.727865744736064,81.35794028366493,6.069142536219442,16.907768004979683,82.14269573367345,543737600,19339400,159317500
2010-02-17,6.087475299835205,17.1621150970459,83.19910430908203,6.140370267876735,17.23035331642013,83.31229125227382,6.036682968969654,16.985312900906493,82.80672367360742,6.136763683346639,17.00082271657741,83.20664588354829,436396800,17064600,168845100
2010-02-18,6.098895072937012,17.342012405395508,83.6895751953125,6.127747346608409,17.345113657703415,83.86312351466087,6.038485988585398,17.106278183322914,83.03309554626277,6.0598241435584015,17.106278183322914,83.06327911417704,422825200,17264600,193708600
2010-02-19,6.061028480529785,17.2830810546875,83.86312866210938,6.107011641886803,17.338913068256545,84.18759484094456,6.044198149915035,17.115585013980365,83.27456344397285,6.06673930868488,17.307894625588965,83.47075376899413,415469600,18944800,222684900
2010-02-22,6.0234599113464355,17.177627563476562,83.87822723388672,6.085972846504262,17.326512597932116,84.19514609581564,5.986493619512739,17.14350785455763,83.62921708940218,6.081164467851108,17.30790152491277,84.17250985666752,390563600,13487600,132346900
2010-02-23,5.922478675842285,17.007022857666016,82.8595199584961,6.050810197017129,17.245858350491762,83.9083742042802,5.881905794032023,16.99461548101122,82.64069346562327,6.010838011504735,17.18692508623032,83.6518225790037,575094800,14835600,207497000
2010-02-24,6.0306715965271,17.109384536743164,83.62165832519531,6.054113588771948,17.115588226441062,83.75748149844283,5.94591808074491,16.963600786924577,82.8972699868508,5.95763947813389,17.059756202392787,83.10854919925211,460566400,14470600,176350700
2010-02-25,6.070944309234619,16.476621627807617,83.50848388671875,6.096790692378811,16.61930411782491,83.56885102984764,5.917367549923056,16.318431689108735,82.20307751889044,5.932094033519153,16.482825317219913,82.42944567023233,665126000,63648600,259634700
2010-02-26,6.149686813354492,16.35255241394043,83.56130981445312,6.166216591014007,16.4673177171774,83.84805088684111,6.070945058257641,16.20056497189727,83.08593148060238,6.082365507885438,16.4673177171774,83.58394605555154,507460800,63095400,173589300
2010-03-01,6.281024932861328,16.52314567565918,84.42906188964844,6.296352116233436,16.554162933797866,84.51206527145139,6.174632684086188,16.374260706774884,83.88576912036642,6.183648745116841,16.507637046589835,83.90840535959858,550093600,39449800,147709700
2010-03-02,6.276819229125977,16.532451629638672,84.6629638671875,6.336326293980341,16.65342060031866,85.07043337915754,6.243458709376133,16.485925739579322,84.5120517917586,6.309277299828243,16.557266384256426,84.7912454639214,566546400,24506200,160992400
2010-03-03,6.2912421226501465,16.72787094116211,84.73843383789062,6.307471754105124,16.78680423410854,85.24399567197635,6.249467454156765,16.49523784020017,84.5271488522068,6.279521524688211,16.5324588050488,84.88179859630276,372052800,26574200,150785000
2010-03-04,6.332717418670654,16.895362854003906,84.9949722290039,6.33902894238673,17.072163872085515,85.1157064876262,6.270204482806725,16.84883577209492,84.53468294262744,6.289740552718408,16.966703511893606,84.85160173612151,366041200,28983200,135770400
2010-03-05,6.580365180969238,16.966697692871094,86.2098388671875,6.602905938606345,17.04424201396901,86.27774757430511,6.450530914550255,16.861237368848627,85.34208003792675,6.459847926897176,16.963595257417012,85.54581767313296,899620400,24238600,176118800
2010-03-08,6.5842719078063965,16.892257690429688,86.22493743896484,6.614626129451996,17.019430352786504,86.41358043356537,6.559326761429584,16.84883305204921,86.07402534605534,6.612222140584392,16.972904461621415,86.2173958641685,429889600,18915600,114631200
2010-03-09,6.702683448791504,16.805418014526367,86.36830139160156,6.762190482997872,16.93259074953638,86.76822358864537,6.548505585711459,16.734077327397173,85.92310672151187,6.561128229139083,16.85504637006117,85.96837919455777,920259200,23070000,154556700
2010-03-10,6.757383346557617,16.811622619628906,86.75312805175781,6.7766184669575535,16.86435223258291,86.98704348718336,6.708094955599568,16.76199426139962,86.33056965049194,6.727029125976559,16.830232514444017,86.40602568544278,596218000,21574800,186088800
2010-03-11,6.777218818664551,16.761577606201172,87.11534118652344,6.777218818664551,16.817866583257775,87.13798318392519,6.711701195587345,16.5739484779571,86.28531307989061,6.729433572354464,16.817866583257775,86.54941214696544,405700400,29130600,160791100
2010-03-12,6.810277938842773,16.683395385742188,87.12288665771484,6.844238738583193,16.814736704511,87.50772000833258,6.7847317002782,16.65525090264292,86.88142383627245,6.83341898524292,16.78971885601535,87.49262534372056,416323600,22334400,162074800
2010-03-15,6.727330684661865,16.777210235595703,87.14551544189453,6.77721977935523,16.836625833249197,87.20588258132231,6.619435671304402,16.68964896341781,86.4739468473105,6.773613996272324,16.80222688984895,86.97196711219875,493502800,23874000,146816800
2010-03-16,6.745663642883301,16.79285430908203,87.83970642089844,6.76159232875938,16.84601547190048,87.922704022923,6.687358778031274,16.752200883274433,87.14549598631875,6.73754922617164,16.824125440984975,87.38695873319507,446908000,22287800,168673000
2010-03-17,6.735745429992676,16.836627960205078,88.36038208007812,6.805771292092223,16.883535833116085,88.64712313110408,6.7101995852436405,16.76157560213082,87.8472728780043,6.759187433200796,16.830373497622492,88.10383035750503,450956800,26074400,177468100
2010-03-18,6.751672744750977,16.87102508544922,88.31511688232422,6.762191549054514,16.899169567572148,88.48866523674288,6.6903620075132215,16.805355024801262,87.96046708382337,6.7351421633025685,16.85538952714018,88.36793669761617,342109600,23496200,196509100
2010-03-19,6.679544448852539,17.121196746826172,87.86808013916016,6.76940653710209,17.21813911219424,88.86821670678637,6.648888871365105,16.761572958995615,87.52712094389791,6.755882241859653,17.121196746826172,87.86808013916016,559445600,43610800,226641100
2010-03-22,6.754680156707764,17.05553436279297,88.33782958984375,6.792248357467777,17.152475578858706,88.49694733480497,6.616430911383391,17.011754304838494,87.3149636588093,6.62604847350225,17.039898798225956,87.36800098025155,456419600,18127400,184477800
2010-03-23,6.8631744384765625,17.29319953918457,88.95912170410156,6.875797486859434,17.305708469085257,89.03488847143055,6.73514306962203,17.014882409938963,88.17870723677493,6.781426777825789,17.108696998359687,88.46662904551242,602431200,19081200,182941600
2010-03-24,6.893527030944824,17.08055305480957,88.52726745605469,6.918472168871816,17.311963493785644,88.97430135411248,6.8376257817911865,17.07742641869191,87.57259547560331,6.841533315702537,17.26818343063491,88.62576948782514,597780400,17052600,196072600
2010-03-25,6.811781406402588,17.136838912963867,88.38328552246094,6.9416160603348,17.255671343286988,89.53495543707741,6.799759456260702,17.089932222277373,88.27721089008708,6.940112915300371,17.17123786855085,89.12580794907798,542284400,16638800,223396300
2010-03-26,6.939511775970459,17.089935302734375,88.33023071289062,6.971068187453244,17.190004359070098,88.96667838108836,6.868884031280497,17.043027410675705,87.98169902116813,6.880905979959628,17.133715365766598,88.54995834518729,640875200,16276800,205808500
2010-03-29,6.984292030334473,17.127456665039062,88.89093017578125,7.0287724411101795,17.186872279758376,89.0500421260318,6.961150981264242,17.09618434709446,88.41359432502962,7.002625904654202,17.136837763963964,88.77727713113543,540744400,13853600,134513500
2010-03-30,7.088278770446777,17.158727645874023,88.9515380859375,7.137267808620449,17.215016624784333,89.27734036895005,7.040191779664406,17.077422005735215,88.5802769013155,7.110819522296849,17.168109937637038,88.99699698754696,527310000,13631600,145772500
2010-03-31,7.0627336502075195,17.199384689331055,88.64849090576172,7.111121598629096,17.290072640356748,89.04248165519675,7.046504819926213,17.043026646700774,88.35299639852667,7.077460940509778,17.133714597726463,88.61060462303512,430659600,22922000,161078700
2010-04-01,7.091886043548584,17.29319953918457,89.2546157836914,7.174835087472389,17.333852964903194,89.59556912561571,6.995111757704138,17.24003837648247,88.72423685325676,7.13516425920159,17.3119629340356,89.2546157836914,603145200,14346000,161215200
2010-04-05,7.167623043060303,17.155601501464844,89.98197174072266,7.16822414056218,17.374502959833485,90.0425816755806,7.055821315311254,17.089931421829345,89.34551828933553,7.062133240347657,17.374502959833485,89.59555378026022,684507600,19191800,105847600
2010-04-06,7.1991777420043945,16.977352142333984,90.19412994384766,7.2202153446767,17.149345705939197,90.35324187737709,7.12283999103955,16.955462117488786,89.62587056097107,7.158905026001432,17.149345705939197,89.72436677297499,447017200,17604200,110384200
2010-04-07,7.231036186218262,16.830381393432617,89.67891693115234,7.270707810911315,16.980484987084022,90.43659618485886,7.172730542676504,16.74907572754877,89.2621910293602,7.1994789749185175,16.980484987084022,90.01229765258607,628502000,24060800,184576300
2010-04-08,7.2115020751953125,16.811616897583008,89.98957824707031,7.259288120919439,16.81787136269084,90.1411175928455,7.1540984698185275,16.711547841692184,89.1030947516666,7.226228562146772,16.81787136269084,89.36828138097947,572989200,19466800,158704000
2010-04-09,7.266801834106445,17.071168899536133,90.58055114746094,7.269808124195066,17.07742336356979,90.61843163927954,7.226830053422004,16.839758501958986,90.01229174447971,7.255982881441017,16.858521894059955,90.178976313622,334182800,20640600,133006500
2010-04-12,7.281830787658691,17.124324798583984,90.72451782226562,7.305272792935733,17.155597109154055,90.9594023362493,7.26740444439063,17.046145811533822,90.5881353169518,7.27912544702915,17.08992704633192,90.69420995656985,333026400,16930400,110279000
2010-04-13,7.286035060882568,17.20563507080078,90.79268646240234,7.297155764438343,17.22439846091352,90.95179837713633,7.246363433627563,17.08993048073117,90.16381143228747,7.268904988182993,17.099311579329083,90.63357454766835,306210800,15055000,125043600
2010-04-14,7.3840107917785645,17.183744430541992,91.82316589355469,7.387617375550796,17.218143381392593,91.82316589355469,7.335323515919643,17.089929869169268,90.98214131947287,7.371688698489991,17.20876109021351,91.1260964708122,404076400,13865200,161609000
2010-04-15,7.4810895919799805,16.96796989440918,91.89892578125,7.484395227425743,17.127455724879777,92.11107506679058,7.378604460225961,16.92731767268811,91.64131180549754,7.386718876344462,17.124327896798533,91.67161967209398,376784800,20351000,144615300
2010-04-16,7.435405254364014,17.190006256103516,90.43659973144531,7.54780806893034,17.24316742624727,91.89892097967102,7.349750874821931,16.939832394738577,89.97441490610846,7.470568251081303,16.958595792216162,91.5731186565751,750545600,35075600,366786700
